step,pusher_x,pusher_y,obj_x,obj_y,goal_x,goal_y,obj_goal_dist,pusher_obj_dist,contact,progress,phase,seed,method,k,h,local_chunk_step,convergence_signal,action_x,action_y,final_score,success
1,0.13372693826123347,0.18334971854458385,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.3704466316664203,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.14633028556594618,-0.1813114456703877,0.11847314431007486,0.9816262707472116,1
2,0.17566919536663095,0.19943958174449725,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.32655847781173153,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08473676506778938,0.932050157897722,0.35755251555363105,0.9816262707472116,1
3,0.19802936397647844,0.20251688543316906,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.3064844370274115,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.05931811910790405,0.4968926357743887,0.06838452641492938,0.9816262707472116,1
4,0.22277318684061193,0.19229821665493282,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.2933568842147492,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11593004739425145,0.5498627303140776,-0.22708152840524956,0.9816262707472116,1
5,0.23770843235539307,0.18991571682043887,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.28377047838330055,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.07382674074079387,0.33189434477291463,-0.05294444076653266,0.9816262707472116,1
6,0.24018708294355848,0.21141148108699187,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.26772470988887803,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.0789249047777264,0.05508112418145354,0.4776836503678444,0.9816262707472116,1
7,0.24110120487893982,0.221272344291116,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.2608097392246914,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08030722278165897,0.020313820786252143,0.2191302934249805,0.9816262707472116,1
8,0.274039265954741,0.23648045052709918,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.22568036602514363,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08411408657050856,0.7319569127955812,0.3379579163551819,0.9816262707472116,1
9,0.3007419379901723,0.21450424425041106,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.22218623553400915,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.14586068978903033,0.5933927118984731,-0.48836013948195794,0.9816262707472116,1
10,0.29073417061984724,0.21863015838280803,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.22584120109721598,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08892922597650615,-0.22239483045166775,0.0916869807199325,0.9816262707472116,1
11,0.31033807207621217,0.23628526059033467,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.19955353711116694,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.0809571361569123,0.435642254585887,0.39233560461170336,0.9816262707472116,1
12,0.32436117620220106,0.23418444655240664,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.19191777062717985,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.04804489685335531,0.3116245361330864,-0.0466847563984007,0.9816262707472116,1
13,0.32619617923098043,0.25646214688390534,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1739882834468463,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11034152287417937,0.040777845083986575,0.49506000736663835,0.9816262707472116,1
14,0.34883670371106856,0.2543148714884268,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1609521911896021,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.11088549368254291,0.5031227662241811,-0.04771723101063398,0.9816262707472116,1
15,0.3411673110115264,0.24984170106754258,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.16918288777015505,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.03520790762176183,-0.17043094887871424,-0.09940378713076051,0.9816262707472116,1
16,0.3459143259142908,0.23189909287202462,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.18093314696515203,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08713651391265892,0.10548922006143066,-0.39872462656706603,0.9816262707472116,1
17,0.3538623131146933,0.22669311471683207,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1811222644130137,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.05216890218293846,0.17662193778672214,-0.11568840344872328,0.9816262707472116,1
18,0.34919676511718767,0.20864910136285408,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.19909710330480562,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.09887724092997457,-0.10367884438901408,-0.4009780745328438,0.9816262707472116,1
19,0.3283880977368994,0.18977267308391774,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.22588957915966906,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.13901567550125143,-0.46241483067307193,-0.4194761839763632,0.9816262707472116,1
20,0.32641810663598375,0.21447262293333752,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.20634131564395422,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.10037908946450697,-0.04377758002034843,0.5488877744315509,0.9816262707472116,1
21,0.30929527623344893,0.2096394181361111,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.2204863219153139,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.08016401281174546,-0.3805073422785518,-0.10740455104947644,0.9816262707472116,1
22,0.32843793440650376,0.1924603112159914,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.22357321601265448,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.1319662135401357,0.4253924038456628,-0.38175793155821564,0.9816262707472116,1
23,0.3287057508304243,0.20464369206528354,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.2131592757531825,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.029626154067565053,0.005951476087122532,0.2707417966509366,0.9816262707472116,1
24,0.3634442879084928,0.20709237865868957,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.1939794186177667,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.15557577553914514,0.7719674906237443,0.0544152576312447,0.9816262707472116,1
25,0.33286313644535237,0.23175689827809542,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.18858094161536051,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.17337193365130266,-0.679581143625343,0.548100435986797,0.9816262707472116,1
26,0.3339634419703703,0.22225191228241173,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.19563559084711035,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.0776712141125332,0.024451233889287376,-0.211221911015193,0.9816262707472116,1
27,0.2995768061816809,0.2181766409644419,0.44601056626108204,0.382622502928826,0.78,0.72,0.4747341544267203,0.2201937501569944,0.0,0.0,free,0,fixed_k2_h1,2,1,0,0.2004246829210592,-0.7641474619708755,-0.09056158484377393,0.9816262707472116,1
